round,time-of-day,contacts,infections,healed,duration(ms)
0,0,8504732,8,0,1488
1,1,6838535,52,0,1670
2,2,5535456,104,0,1613
3,3,4545831,66,0,1592
4,4,3801292,70,0,1563
5,5,3274516,125,0,1564
6,6,2919138,102,0,1546
7,7,2718969,145,0,1540
8,8,2654914,181,0,1539
9,9,2721553,183,0,1531
10,10,2927677,250,0,1517
11,11,3283027,316,0,1528
12,12,3815077,329,0,1544
13,13,4557814,429,0,1578
14,14,5558940,724,0,1580
15,15,6858978,950,0,1589
16,16,8542400,1485,0,1589
17,17,10662441,2352,0,1590
18,18,10665159,2446,0,1600
19,19,10671107,2630,0,1597
20,20,10676115,3264,0,1579
21,21,10679726,3789,0,1581
22,22,10686533,3775,0,1576
23,23,10692752,4563,0,1579
24,24,10700781,4305,0,1582
25,25,10705666,4980,0,1581
26,26,10715082,4993,0,1587
27,27,10723179,5205,0,1602
28,28,10730217,4726,0,1625
29,29,10737494,5018,0,1623
30,0,8605121,3891,0,1656
31,1,6921435,3155,0,1691
32,2,5610314,2650,0,1693
33,3,4607586,2207,0,1746
34,4,3854996,2044,0,1750
35,5,3322185,1750,0,1550
36,6,2965085,1549,0,1606
37,7,2761824,1540,0,1521
38,8,2697588,1822,0,1514
39,9,2768422,1788,0,1510
40,10,2976917,1974,0,1512
41,11,3339470,2191,0,1529
42,12,3880808,2668,0,1536
43,13,4634590,3177,0,1554
44,14,5655239,4312,0,1566
45,15,6984414,5651,0,1576
46,16,8700830,7282,0,1583
47,17,10859304,9371,0,1556
48,18,10863947,7704,0,1549
49,19,10869276,8771,0,1558
50,20,10873494,9431,0,1577
51,21,10880519,10814,0,1586
52,22,10884964,10261,0,1589
53,23,10888484,10611,0,1573
54,24,10886132,10258,0,1552
55,25,10890513,10657,0,1549
56,26,10895485,9841,0,1554
57,27,10898027,9449,0,1559
58,28,10898288,8406,0,1565
59,29,10900751,7698,0,1548
60,0,8733237,5681,1,1312
61,1,7024541,5003,0,1199
62,2,5688923,3993,0,1193
63,3,4669429,3330,0,1175
64,4,3907297,2765,0,1162
65,5,3363051,2396,0,1149
66,6,2998199,2181,0,1146
67,7,2791127,2376,0,1131
68,8,2724984,2521,0,1121
69,9,2791982,2543,0,1123
70,10,3000473,2926,0,1127
71,11,3363812,3320,0,1131
72,12,3906729,3666,0,1139
73,13,4665480,4287,0,1149
74,14,5689044,5491,0,1152
75,15,7019368,6896,0,1156
76,16,8739744,8668,0,1211
77,17,10903250,11441,0,1124
78,18,10900099,7916,0,1129
79,19,10896702,8118,0,1125
80,20,10895100,8705,0,1123
81,21,10893128,8772,0,1124
82,22,10895901,7992,0,1122
83,23,10895364,7889,0,1125
84,24,10894095,8342,0,1130
85,25,10892804,7288,0,1129
86,26,10888701,7814,0,1131
87,27,10889906,8197,0,1148
88,28,10892948,8543,0,1154
89,29,10890934,8449,0,1157
90,0,8723039,6982,5,1195
91,1,7014515,5349,54,1216
92,2,5679602,4132,78,1212
93,3,4658544,3569,54,1179
94,4,3897772,3066,86,1164
95,5,3357248,2798,117,1149
96,6,2990912,2611,73,1136
97,7,2785167,2616,181,1130
98,8,2718391,2765,141,1120
99,9,2785824,2962,175,1122
100,10,2996184,3195,261,1129
101,11,3357908,3913,267,1137
102,12,3900270,4657,354,1143
103,13,4656956,5724,391,1165
104,14,5676628,6888,649,1163
105,15,7003792,8815,908,1161
106,16,8717174,11516,1437,1152
107,17,10871861,14643,2234,1124
108,18,10870338,10922,2404,1127
109,19,10868154,10437,2438,1126
110,20,10864051,11983,3177,1127
111,21,10865518,12645,3642,1127
112,22,10866909,12456,3688,1126
113,23,10864575,13766,4554,1128
114,24,10864118,13073,3868,1130
115,25,10860517,14254,5511,1126
116,26,10862029,13830,4433,1125
117,27,10864867,13824,5630,1130
118,28,10864270,12879,4281,1122
119,29,10863872,14051,5378,1130
120,0,8699768,10890,3648,1242
121,1,6992513,8910,3586,1443
122,2,5663782,7061,2700,1371
123,3,4648595,6298,2296,1293
124,4,3889048,5447,2075,1199
125,5,3348106,4981,1862,1160
126,6,2984020,4522,1659,1140
127,7,2776961,4491,1570,1281
128,8,2712099,4824,1774,1150
129,9,2781909,5071,1789,1128
130,10,2989090,5637,1925,1133
131,11,3349632,6128,2164,1317
132,12,3893613,7598,2600,1299
133,13,4647527,9120,3073,1178
134,14,5665787,11495,4186,1172
135,15,6989243,14465,5471,1171
136,16,8698988,18164,6965,1167
137,17,10851366,22755,9091,1156
138,18,10851248,18015,7538,1139
139,19,10849137,18705,8603,1141
140,20,10849920,18723,9341,1130
141,21,10847843,20275,10201,1128
142,22,10845449,20040,10505,1132
143,23,10846899,20225,10491,1135
144,24,10848873,20105,10317,1136
145,25,10846999,20324,10811,1135
146,26,10844684,19308,9425,1133
147,27,10847140,20483,10440,1142
148,28,10848433,17485,7952,1139
149,29,10845570,18053,8314,1137
